t,x,y,label
0.6471149283,69.9105657428,40.6871385657,2
2.9594269449,69.4808712344,40.6778875499,2
4.0356789351,69.4309198136,40.6521876648,2
7.109612453,69.4199465813,40.6412468715,2
7.9703319839,69.3792737884,40.6344896447,2
8.9095675262,68.9340853538,40.6239918911,2
11.5141441275,68.8938238431,40.6169551757,2
12.1340728141,68.8073159756,40.5987389052,2
15.034029534,68.805686154,40.5963659323,2
15.8427248811,68.781853937,40.5556837007,2
16.4627471591,68.7394259028,40.5427195978,2
16.4902364268,68.4691488309,40.5340294914,2
16.8936452929,68.4100636693,40.5283310772,2
17.5104136331,68.4021523836,40.505524939,2
19.4923333826,68.3316924467,40.49936615,2
20.853378465,68.2735480527,40.4990193389,2
24.8005827221,68.2658182788,40.4684048615,2
25.136751943,68.1399297822,40.4529017981,2
26.7741329681,68.0806225388,40.4518640776,2
26.9195834739,68.0442602817,40.4392080934,2
28.7460669519,67.9949197206,40.4353120999,2
29.0028531861,67.776619794,40.4263967325,2
32.3391558187,67.5664711899,40.4192625425,2
32.6349506184,67.4532297746,40.4043159698,2
34.5827471873,66.9794099581,40.3894428645,2
35.2030587508,66.8484460377,40.3884864145,2
35.6207492489,66.8063064301,40.3756659766,2
35.7364332676,66.5032454473,40.3567955648,2
36.0154400747,66.4105168475,40.3488125327,2
36.8234514396,66.0070997964,40.3224570687,2
36.9725564448,65.9519677837,40.3160456624,2
37.5641057686,65.8301512419,40.2730619215,2
37.7378783656,65.7853442891,40.2702990274,2
38.76491323,65.5270046328,40.204803266,2
39.5694005951,65.5217954839,40.1990467794,2
40.5750909184,65.4623783463,40.1789607528,2
40.9648053602,65.1399776226,40.165560427,2
41.469949468,65.06797656,40.1410548798,2
41.5872331782,65.0616016664,40.102240437,2
41.7599883046,64.8914371232,40.101189031,2
41.8839792049,64.8751508226,40.0803394964,2
42.1980354805,64.8552827382,40.0712507497,2
43.6422937018,64.6849782208,40.0706078511,2
44.0338987208,64.6152115385,40.0458087293,2
44.6712207133,64.4681422884,39.9676024532,2
46.9857836955,64.0239803144,39.9674239253,2
46.9977678882,63.9977865122,39.9130642571,2
47.0902371698,63.8378941752,39.8475840275,2
49.6552009264,63.8340504027,39.8322528993,2
51.3547966709,63.7274816652,39.8093746203,2
52.2206982205,63.1162662509,39.8047613174,2
55.6944536867,63.0594900385,39.7858957449,2
55.9599494632,63.051071352,39.758985062,2
57.0125647446,62.8347480248,39.7499170838,2
58.3934935797,62.8074927896,39.7467809434,2
58.5357721901,62.8028745278,39.7425025899,2
59.9281200818,62.6698240252,39.7257003925,2
60.0558547996,62.1161026198,39.701991183,2
61.0928766893,62.0790180905,39.7013953443,2
61.4178556569,61.873553558,39.6955762653,2
62.4198477267,61.8547027549,39.6900052457,2
62.9644468208,61.7437422621,39.6884027417,2
65.1896770611,61.6549751707,39.6830296251,2
65.5397067131,61.6101545403,39.6569018457,2
66.7415788209,61.5619601764,39.6564335459,2
67.0360822274,61.4649208185,39.610012186,2
67.2061882813,61.0610439553,39.6017993054,2
67.3146271938,60.9723203669,39.5927755005,2
67.5341568143,60.4874556252,39.5844147815,2
67.6727917875,60.4552283,39.5643970783,2
68.0323118957,60.368032474,39.5494822966,2
68.0512521247,60.3459918723,39.5475999317,2
70.3873288498,60.287576452,39.5238676242,2
70.6084543206,60.2266815502,39.5156474348,2
71.3348322024,60.1561355905,39.5037266525,2
72.000277283,60.0917486055,39.4165006762,2
75.0526612777,60.0777221941,39.414625796,2
75.6694804105,59.7325732089,39.4127405841,2
77.559176891,59.5772349799,39.3735306555,2
78.9150225375,59.5742505033,39.3647745815,2
80.0603018475,59.3438780777,39.3628523612,2
80.8695666457,59.3380908468,39.3316566787,2
82.7753185189,59.0402887181,39.3265407893,2
83.4653123449,59.0156444392,39.321141897,2
84.2142724773,58.9089881219,39.3209115931,2
84.5005747716,58.4174052151,39.3084983846,2
85.1458877816,58.3615240489,39.304541161,2
85.5858176196,57.9778193085,39.2977227898,2
88.1149929823,57.8897025188,39.2950769245,2
88.7128747219,57.8778671327,39.290190809,2
88.8498769322,57.8073038335,39.1979481688,2
89.3217310454,57.6075704973,39.1812015734,2
90.6054624178,57.4714718302,39.1531508178,2
91.9566600294,57.0243908466,39.1060280016,2
94.9789893321,56.7549956785,39.0694245307,2
95.6837183074,56.5828487299,39.0628819515,2
95.8847104663,56.5561167961,39.0463204456,2
98.4116910742,56.4035997322,39.0399709238,2
99.2506753458,56.0672887463,39.0305688679,2
99.5852241694,56.0609487001,39.0131695657,2
101.133467006,55.9722486028,37.9017455661,2
101.7823266039,55.9503465718,37.5415390065,2
102.0969976173,55.8637233789,37.5341443521,2
102.7154437197,55.6751067053,37.3175689013,2
103.759169707,55.5202674865,36.9035618828,2
