t,x,y,label
0.4398568671,69.8984490876,39.1574831342,3
0.5589264603,68.9898026454,39.1444004819,3
0.7747517328,68.8393059578,39.1308292052,3
1.5087171522,68.228506734,39.1090388723,3
3.8815295625,68.0609718241,39.0978215515,3
3.9713806647,67.6792713151,39.0971382052,3
4.4683056456,67.4803759275,39.0960685281,3
4.9271045897,67.3219846117,39.0723880805,3
5.3316755452,66.6592171718,39.0468644769,3
6.0476200677,66.4852554573,38.9941225128,3
7.0096554019,66.4085558838,38.989247374,3
8.9331755577,66.1085098231,38.9885322482,3
9.7237602617,66.0936874687,38.9275717959,3
10.8591110923,66.0394740729,38.9180637608,3
16.2883225513,65.8541198714,38.9022789951,3
18.0897420375,65.2848602362,38.8927195884,3
18.2137722144,64.6163826463,38.8868022796,3
19.2630483042,64.6076744352,38.8458559451,3
20.5314104071,64.5446371555,38.8357807392,3
21.15411591,64.3475760592,38.835627021,3
24.7833369773,64.3070730055,38.8299836994,3
27.2124542195,63.3633242076,38.8168464533,3
27.2796047095,63.2534803472,38.7368734457,3
27.4836918503,63.0041826343,38.7367171819,3
27.8105451855,62.9287149335,38.6870860997,3
27.9231006435,62.5136799032,38.6601960333,3
28.0666452857,62.4008413402,38.6216385194,3
28.6962926015,62.1696080676,38.573506744,3
29.7994008007,61.9734572417,38.5332624343,3
30.8141330434,61.5880199352,38.5324478598,3
31.4262476542,61.5308779418,38.5124602065,3
32.4630965284,60.9020838997,38.5108651641,3
34.0601206829,60.5455489507,38.5081959595,3
34.5995602213,60.4544159024,38.4942947324,3
35.9924357724,60.153563967,38.4525237462,3
36.253616147,59.7977677852,38.3966723557,3
37.1444505136,59.7277854702,38.3487102207,3
37.1678238138,59.6549346769,38.344189552,3
38.0184902777,59.0442324919,38.3299193558,3
38.2178953195,59.0208117356,38.2549150629,3
39.4768149088,58.9776445938,38.2172539947,3
39.8830450732,58.5564939597,38.1796111693,3
42.813750273,58.3748850507,38.1787493035,3
43.5382989196,58.1541585513,38.1713618808,3
44.4676876735,57.4162571918,38.145994418,3
44.7716469632,57.2264387122,38.1247119436,3
46.4245307318,57.1626370127,38.085296667,3
46.9172793707,56.3357069085,38.0660119631,3
49.2290809637,56.2454811516,38.0441641878,3
49.4286181071,56.2049482748,38.0072813129,3
50.0201250386,55.9143357311,37.9550606534,3
50.3317153992,55.8955257027,37.8368639886,3
50.3618495025,55.8704915023,37.6987200958,3
50.3786884348,55.7357931279,37.5925171431,3
50.5439197688,55.7312834304,37.5827919998,3
51.3520336527,55.7297478064,37.4067288436,3
51.7866963951,55.7184649087,37.1719788024,3
52.911502603,55.6344990023,37.1479087095,3
52.9316837286,55.6034162008,37.1335041675,3
53.1345522857,55.5791880544,36.8136134099,3
54.3922908787,55.5438239867,36.7568651718,3
57.0734071149,55.5400430296,36.4720290028,3
57.9447840885,55.4464781983,36.4076629819,3
57.9670393366,55.4376802847,36.3896351936,3
63.0141052319,55.2729281785,36.2150034768,3
63.2355280547,55.2497316193,36.1960496567,3
65.1634916554,55.0029063227,36.089658211,3
65.3591850347,54.9185255986,36.0777072526,3
66.1786402297,54.9128835168,35.8566508915,3
66.4912022439,54.8559727324,35.6727423119,3
66.6971174122,54.660976074,35.5417383965,3
66.7451020315,54.4536399408,35.5192114024,3
66.8504076738,54.4214200357,35.3308980592,3
67.6636062624,54.2780430245,35.1557309408,3
68.3046880264,54.2468013869,35.0654403862,3
68.3341338597,54.1161723976,34.9855962687,3
69.0494561851,54.0680591216,34.9814678554,3
69.1344582438,54.0122669322,34.8718346502,3
69.7188347857,54.0057654072,34.8475334822,3
71.4660949478,53.882562325,34.7293926689,3
72.644448736,53.8646001878,34.7012240565,3
73.1292826347,53.7668509119,34.5058395473,3
74.7967232679,53.7437248386,34.3888897368,3
74.8182783142,53.7422907971,34.3177369297,3
75.2339174686,53.6923702282,34.2371042608,3
76.7211508974,53.6451077421,34.1841556044,3
78.4798022679,53.5879280246,34.0609976853,3
78.7832283531,53.5596051056,34.0421589635,3
78.9020916804,53.5452243091,33.9917244571,3
80.4125942284,53.543545037,33.9150420853,3
84.6820855148,53.5186089485,33.9039875117,3
86.4822227701,53.479213846,33.8107019615,3
88.9464545811,53.4445046672,33.8013760612,3
89.2425090443,53.4378201308,33.580788539,3
91.0299526199,53.4037247285,33.4378348247,3
92.6727064091,53.2866107627,33.3671463879,3
94.1644793307,53.1511772037,33.0517897913,3
95.9235371966,53.123673433,32.9183461354,3
96.9970668536,53.1050470346,32.8129510935,3
98.4979313522,53.0235344662,32.7103985201,3
