t,x,y,label
0.4983562988,69.9061652011,43.6956921257,1
1.8104296205,69.7283055099,43.6833049867,1
1.8937636075,69.5781415654,43.6800084456,1
3.5935786858,69.4649149306,43.629824552,1
3.975628645,69.4324566603,43.6279233642,1
5.6820620152,69.4160185922,43.6223897454,1
8.0874699116,69.2910902833,43.612473609,1
9.2136512884,69.0182135572,43.6029522434,1
9.2769139983,68.9037696569,43.5992548319,1
10.3360523517,68.8992204003,43.5893510973,1
11.5745181347,68.7661588219,43.5726095734,1
11.9068084268,68.7036265153,43.5644734172,1
12.0996990724,68.5960861809,43.5447549673,1
12.8002966404,68.5425350248,43.5443038576,1
13.0294397875,68.4063520637,43.527282753,1
13.8592186667,68.1373200893,43.5270475772,1
13.9739619325,68.0298187543,43.5120500226,1
15.3889643488,68.0114891428,43.4983850563,1
17.2890791134,67.9756190958,43.4812959277,1
17.5097305687,67.9357010166,43.4463010967,1
17.710162534,67.8941170006,43.4426035415,1
18.117628411,67.7685851404,43.4425593503,1
19.1531609462,67.6952521164,43.4423684214,1
20.5543466307,67.4703778569,43.4283092687,1
20.6698781657,67.1432461383,43.4140662278,1
21.122273758,66.9679213109,43.3957597884,1
21.5454814428,66.8871314709,43.3793448392,1
22.1043779292,66.6959909581,43.3753996263,1
22.7723749972,66.6552459192,43.3604399053,1
23.7051853237,66.5942981675,43.3356805491,1
24.4693173863,66.0941897264,43.2767322916,1
26.0493997534,66.0015064369,43.2748563139,1
26.6929638198,65.8194067305,43.2437412249,1
26.8535690258,65.805185207,43.2302582624,1
29.95096783,65.7488814918,43.2200276489,1
30.0917137268,65.6782989442,43.2021035202,1
31.2713044239,65.6484827994,43.1775585136,1
31.3342941851,65.2623359421,43.1716705532,1
31.6899024196,65.2235104621,43.1660870728,1
31.7216510053,65.1546913698,43.1531761829,1
33.7298943803,65.1465346173,43.124445891,1
34.4195882012,64.9568756997,43.1161045467,1
34.9379937164,64.6853412787,43.111569492,1
35.4522956869,64.4269194782,43.1013340213,1
36.1746691768,64.3797408941,43.0445038443,1
37.2164510031,64.0316658666,43.0424556303,1
38.9284593608,63.837517224,43.0083562345,1
40.195549848,63.5664928518,42.9926366392,1
40.7679588648,63.5353076254,42.9781419686,1
41.360959603,63.3652012906,42.9610394069,1
42.428617716,63.333035469,42.925377915,1
43.2659654567,63.275744754,42.9189644214,1
44.174668789,62.9102552876,42.8962694337,1
44.3831418614,62.67344033,42.8935020441,1
46.6852939742,62.4624806705,42.850632646,1
46.9533151129,62.4530876545,42.8106168001,1
47.1974098382,62.4491183338,42.7967814409,1
50.8869123494,62.3975394821,42.7713645434,1
51.5695583616,62.1327790644,42.7701257714,1
51.8370031237,62.0161748993,42.7518803381,1
53.5544141722,61.7305322151,42.7507812057,1
53.6043609091,61.5161544868,42.725275123,1
58.0292315455,61.3884173583,42.7184564052,1
60.5378351625,61.1658505432,42.7182410844,1
61.3169850366,60.937550147,42.6992344578,1
61.888483884,60.9355893267,42.6723444238,1
63.431769381,60.603506468,42.5633776393,1
64.3359053516,60.3094517595,42.5215665859,1
65.1223315091,60.100702941,42.5214851264,1
65.852397163,59.900645631,42.5154121243,1
66.6727112943,59.8422917267,42.5149286407,1
66.7950051664,59.5126052149,42.4990248445,1
67.3224376259,59.4768200696,42.4565664067,1
70.7523603045,59.4387106733,42.4098798942,1
72.5917671901,59.3925702709,42.4070431769,1
72.6218476747,59.3243640755,42.3692084115,1
73.3727754947,58.8695410306,42.3675001941,1
76.4399061014,58.8028286498,42.3638664564,1
77.4062643419,58.7130161548,42.326528188,1
77.6727394659,58.5374771282,42.322379049,1
78.0542618943,57.8925359035,42.3195152127,1
81.130322277,57.8677148353,42.2738383581,1
81.3759859833,57.7063695007,42.2309249058,1
83.5553288236,57.6638794526,42.2168254768,1
83.811188739,57.6113001529,42.2123562322,1
84.6658582198,57.5508533022,42.2090345377,1
85.2984739819,57.0521857473,42.2051976089,1
87.5110558332,56.8520479662,42.1981449392,1
89.3020701833,56.7943895367,42.1927013706,1
90.0992576643,56.6550920429,42.1908292119,1
91.5694542666,56.6066689784,42.1712083627,1
92.0810624518,56.5685154158,42.1688851658,1
92.5084489337,56.53642271,42.1686488588,1
92.526538837,56.3503616,42.1326044281,1
92.8092802457,56.3447396166,42.1308511765,1
93.1994016593,56.3368810837,42.0647507246,1
93.8580398168,56.3162105442,42.0452880423,1
93.8838797889,56.2687097492,42.0449584539,1
96.4573519292,56.1771048363,42.0404159303,1
97.9271519129,56.1288734353,42.0188967557,1
100.975229949,55.9978969029,41.2873543349,1
101.3181894467,55.8866028207,41.1560697208,1
101.7991956828,55.858267005,40.4327569768,1
101.9365179711,55.7808512181,40.2098242672,1
102.7310803266,55.6610237511,39.5647037679,1
103.6704211687,55.3441231636,39.3211304053,1
105.0665012794,55.3092771451,38.432498229,1
110.2116143724,55.247797226,37.5333349882,1
110.4399725886,55.1736864937,37.0027132238,1
111.0225513869,55.1722523569,35.49299755,1
111.8130707521,55.0311430516,34.5275934246,1
112.3636145358,54.890072288,34.3346078292,1
117.3824793141,54.6458125757,33.8281060955,1
117.5319996355,54.5949443936,33.8116386047,1
118.4350225467,54.5775078117,33.7506692539,1
119.8961589656,54.477211623,33.5332654215,1
120.0809537141,54.0317833448,33.5306741665,1
120.3330851224,53.8419126437,33.2988907245,1
120.4174856452,53.7886135904,33.1346384964,1
121.4340373991,53.6602817091,32.7402584907,1
121.5395738583,53.6522705828,32.3935053208,1
121.796421296,53.4373991036,32.2595108647,1
124.459685929,53.2214834081,30.4221328578,1
124.6087905195,53.1216378883,30.2176124232,1
124.6284542571,53.0851814335,30.1788522705,1
125.6662667645,52.8931433398,29.6995587784,1
125.906961773,52.8834525225,29.6929984117,1
126.2796786178,52.8637152062,29.6921239634,1
127.4760794498,52.303337752,29.6733412401,1
129.1203735868,52.2777594587,29.6667824904,1
130.6380517825,52.1804537807,29.6608570732,1
130.6580212405,51.9474131021,29.6598802029,1
131.4403881198,51.9335668891,29.6576360368,1
133.0997564372,51.6865275652,29.6563091846,1
134.6167779583,51.5052274068,29.6549837529,1
135.6124669529,50.801685918,29.6458775964,1
135.662877596,50.5066326637,29.6442145184,1
135.7300546163,50.3508545148,29.6222223502,1
138.3417452011,50.3193827574,29.6147134784,1
139.7027020157,50.0528894728,29.6120864337,1
142.1428830165,49.8355541354,29.6002165368,1
142.606479688,49.8131319164,29.5881743375,1
142.8492361719,49.4724643155,29.5785965701,1
143.0394394631,49.4158544555,29.5781115029,1
143.4106551132,49.0279505547,29.5658152735,1
144.3682496338,48.7618077446,29.5524418973,1
144.816554518,48.4416241034,29.551159016,1
146.1767147206,48.3962159873,29.5458194001,1
147.1027295448,48.1974852482,29.5454375171,1
147.2861346981,47.9846890832,29.5224013349,1
147.3322698439,47.8991936148,29.5152275535,1
147.6749904389,47.7553422032,29.5092398216,1
148.7985106585,47.617478267,29.5034375887,1
150.3117914095,47.5911691694,29.501982554,1
150.77566743,47.4786985316,29.5007763693,1
150.9545782381,47.4202686754,29.4776122152,1
151.3666964889,47.4119740885,29.4642512375,1
153.3896876512,47.216765839,29.4355748252,1
154.0767493151,47.2083201442,29.4188021249,1
154.400161962,47.1964339507,29.4162279193,1
157.6507305028,47.0080379895,29.4110862551,1
158.5630442092,46.8973395652,29.4046212484,1
158.5905207016,46.7153379572,29.3777900556,1
158.7238791488,46.2269909028,29.3754289773,1
159.9076146617,46.1524885645,29.371867717,1
160.5808964875,46.1022074655,29.3636487846,1
160.6981820944,45.9674270059,29.35197493,1
161.2608972536,45.9447918105,29.3435218457,1
161.4109977236,45.7271877625,29.3088898979,1
161.5820391705,45.4899633201,29.2979428078,1
161.7291948849,45.2500894838,29.2936776997,1
162.1850990955,45.1679729985,29.2785397501,1
162.3392409176,45.1364662593,29.2777033219,1
163.8209375151,45.0949673504,29.2465027777,1
164.3689957815,44.7703149245,29.225904724,1
164.7065522337,44.4662801824,29.2237123284,1
164.7651365304,44.2593459986,29.2231483715,1
166.4836936053,44.0464650695,29.2195589438,1
167.1779838281,43.914995316,29.2130040448,1
167.7642229956,43.7219602081,29.1923423066,1
168.1183136616,43.6857883154,29.1878524128,1
168.4609388466,43.4563245814,29.1748480995,1
168.4828460868,43.2721608971,29.1711954503,1
168.887772886,43.1049053944,29.1694095917,1
168.9882626608,43.0561354615,29.1667135763,1
170.284154934,42.6897591273,29.1571115556,1
170.7046066954,42.64601131,29.1549360662,1
171.0551931054,42.4261966598,29.1444916379,1
171.3744290898,42.3617213062,29.1195311171,1
171.4835652048,42.2807849621,29.1064837367,1
171.6717062769,42.2183687269,29.0978328478,1
172.0966652708,42.0557017989,29.0836693342,1
172.8008822474,41.9600259104,29.0831169791,1
173.8006151832,41.8694825204,29.0681327534,1
173.911926163,41.5337717317,29.0574905174,1
174.7319608069,40.9953629903,29.052555675,1
176.086453116,40.8794604792,29.049464614,1
177.7600016042,40.6764078387,29.0370380905,1
177.8339751952,40.4100345623,29.0129684425,1
178.2165281276,39.8543190191,28.997855674,1
178.4548283042,39.7922275296,28.9797958333,1
179.3578214851,39.6893673629,28.9683203463,1
179.9257145349,39.5606935229,28.9516202926,1
180.1888436646,39.1988618645,28.9324545782,1
181.3235426174,38.6783731079,28.9301927359,1
181.7492770674,38.0571609598,28.9184405456,1
181.961011211,37.8592402889,28.9033402731,1
182.0803114456,37.7785593314,28.9000853841,1
182.1105378039,37.6679805801,28.8833179641,1
183.1211084538,37.5528134027,28.8807718686,1
183.1632989763,37.5489037984,28.8806478384,1
183.6962280306,37.4718438735,28.8662447213,1
184.0765716999,37.4631164354,28.8492450095,1
184.3646554327,37.3585420151,28.8453065179,1
185.2060390201,36.7083760124,28.8433950996,1
185.6406164175,36.6541969291,28.8183213398,1
185.801647925,36.4703301472,28.8052060636,1
186.0024267609,36.3379660534,28.7978202103,1
186.2306353132,36.3069225136,28.7875891617,1
186.2661508434,36.2464679974,28.7826804166,1
187.9574844803,35.9039579032,28.7432967736,1
188.3626550169,35.6643935377,28.7421319084,1
189.8266260687,35.2485857975,28.7342120506,1
190.4421549591,35.0242869472,28.7289774549,1
191.7400116274,34.4014282684,28.7146187876,1
192.9654938676,34.1481779932,28.7076247198,1
193.3836290474,33.5922482407,28.6963580812,1
193.9939381177,33.5438439097,28.6874459505,1
194.8116180409,33.5364390259,28.6625265928,1
195.5401407304,32.6896230888,28.6613108849,1
196.0226307302,32.3109793963,28.6544170964,1
196.0512921791,32.1177277457,28.6255947171,1
196.2134601286,31.9460637659,28.6203772492,1
196.2958467091,31.682052472,28.6027390064,1
