time, ref, y_nom, y_nn, u_nom, u_nn
0,0.125,27.86844,27.89712,0,0
0.02,0.125,-17.67268,-17.6541,0.0055,0.00551
0.04,0.125,17.1458,17.22053,0.0127,0.01241
0.06,0.125,-10.24839,-10.17301,0.01951,0.01873
0.08,0.125,10.57844,10.70377,0.02729,0.02576
0.1,0.125,-5.91021,-5.76751,0.03475,0.03228
0.12,0.125,6.54011,6.72642,0.04268,0.03906
0.14,0.125,-3.38864,-3.1783,0.05027,0.04537
0.16,0.125,4.05247,4.29861,0.05797,0.05165
0.18,0.125,-1.92534,-1.65559,0.06528,0.05747
0.2,0.125,2.52478,2.82117,0.07245,0.06309
0.22,0.125,-1.0695,-0.75462,0.07919,0.06825
0.24,0.125,1.59815,1.92972,0.08563,0.07312
0.26,0.125,-0.55535,-0.21307,0.09159,0.07755
0.28,0.125,1.05249,1.40138,0.09716,0.08164
0.3,0.125,-0.22822,0.12252,0.10223,0.08533
0.32,0.125,0.75101,1.09878,0.10686,0.08868
0.34,0.125,1E-05,0.34091,0.11099,0.09165
0.36,0.125,0.6071,0.93651,0.11468,0.09431
0.38,0.125,0.17787,0.49266,0.11789,0.09663
0.4,0.125,0.56469,0.86095,0.12067,0.09867
0.42,0.125,0.33062,0.60599,0.12301,0.10042
0.44,0.125,0.58658,0.83811,0.12496,0.10193
0.46,0.125,0.47013,0.69626,0.12652,0.1032
0.48,0.125,0.64745,0.84626,0.12773,0.10427
0.5,0.125,0.60085,0.77158,0.12862,0.10514
0.52,0.125,0.72976,0.87146,0.12921,0.10585
0.54,0.125,0.72338,0.83606,0.12954,0.10642
0.56,0.125,0.82119,0.90479,0.12963,0.10685
0.58,0.125,0.8366,0.89177,0.12951,0.10718
0.6,0.125,0.91317,0.9406,0.12921,0.10741
0.62,0.125,0.93889,0.93978,0.12877,0.10756
0.64,0.125,0.99984,0.97544,0.1282,0.10765
0.66,0.125,1.0288,0.98072,0.12754,0.10768
0.68,0.125,1.07742,1.00731,0.1268,0.10768
0.7,0.125,1.10537,1.01513,0.126,0.10764
0.72,0.125,1.14369,1.03521,0.12517,0.10758
0.74,0.125,1.16824,1.04354,0.12433,0.10751
0.76,0.125,1.19769,1.05877,0.12349,0.10743
0.78,0.125,1.21763,1.06653,0.12265,0.10735
0.8,0.125,1.23936,1.07805,0.12185,0.10727
0.82,0.125,1.25431,1.08475,0.12108,0.1072
0.84,0.125,1.26936,1.09339,0.12036,0.10714
0.86,0.125,1.27944,1.09886,0.11969,0.1071
0.88,0.125,1.28879,1.10524,0.11908,0.10706
0.9,0.125,1.29447,1.10951,0.11853,0.10704
0.92,0.125,1.29909,1.11415,0.11805,0.10704
0.94,0.125,1.301,1.11736,0.11763,0.10706
0.96,0.125,1.30184,1.12066,0.11727,0.10709
0.98,0.125,1.3007,1.12299,0.11698,0.10714
1,0.125,1.29865,1.12528,0.11676,0.10721
1.02,0.125,1.29522,1.12692,0.1166,0.10729
1.04,0.125,1.2911,1.12849,0.11649,0.10739
1.06,0.125,1.28608,1.12962,0.11644,0.1075
1.08,0.125,1.28063,1.13068,0.11645,0.10762
1.1,0.125,1.27466,1.13147,0.1165,0.10776
1.12,0.125,1.2685,1.13221,0.11659,0.1079
1.14,0.125,1.26214,1.13278,0.11672,0.10806
1.16,0.125,1.2558,1.13333,0.11689,0.10822
1.18,0.125,1.2495,1.1338,0.11708,0.10839
1.2,0.125,1.2434,1.13427,0.11731,0.10857
1.22,0.125,1.23752,1.13471,0.11755,0.10875
1.24,0.125,1.23196,1.13518,0.11781,0.10894
1.26,0.125,1.22674,1.13565,0.11808,0.10913
1.28,0.125,1.22194,1.13616,0.11836,0.10933
1.3,0.125,1.21755,1.1367,0.11865,0.10952
1.32,0.125,1.21363,1.13729,0.11894,0.10972
